Date,Open,High,Low,Close,Tick_Vol
3/24/2024,2162.99,2235.959,2162.88,2233.62,636414
3/31/2024,2238.44,2330.36,2228.41,2328.587,1034418
4/7/2024,2323.019,2431.379,2302.799,2343.009,1360210
4/14/2024,2350.36,2417.739,2324.184,2391.374,1312441
4/21/2024,2387.02,2388.51,2291.2,2336.266,988502
4/28/2024,2334.799,2346.559,2277.18,2301.099,952266
5/5/2024,2301.36,2378.36,2287.94,2359.154,793302
5/12/2024,2362.499,2422.549,2332.009,2413.654,829821
5/19/2024,2417.689,2449.956,2325.297,2333.489,1044575
5/26/2024,2333.629,2363.962,2320.429,2325.435,858302
6/2/2024,2329.09,2387.612,2286.61,2293.504,988893
6/9/2024,2292.419,2341.555,2287.609,2331.999,814857
6/16/2024,2333.289,2368.599,2306.499,2321.364,685974
6/23/2024,2321.007,2339.569,2293.489,2326.201,719128
6/30/2024,2324.579,2392.84,2318.417,2389.119,656526
7/7/2024,2387.749,2424.419,2349.309,2410.757,754104
7/14/2024,2411.83,2483.559,2393.67,2400.709,960251
7/21/2024,2399.82,2431.895,2353.03,2386.14,967858
7/28/2024,2387.794,2477.509,2369.559,2442.579,1132606
8/4/2024,2440.795,2458.649,2364.206,2431.012,1252679
8/11/2024,2430.419,2509.64,2423.699,2507.399,883548
8/18/2024,2507.93,2531.559,2470.799,2511.744,905689
8/25/2024,2509.97,2528.93,2493.539,2501.449,830069
9/1/2024,2503.119,2529.129,2471.758,2497.031,843569
9/8/2024,2497.212,2585.99,2485.429,2576.718,854422
9/15/2024,2577.68,2625.67,2546.779,2620.983,894041
9/22/2024,2617.487,2685.51,2613.739,2658.178,1001269
9/29/2024,2657.769,2673.07,2624.569,2652.218,916573
10/6/2024,2651.38,2661.325,2600.589,2656.802,1004031
10/13/2024,2654.999,2722.419,2637.99,2720.646,890150
10/20/2024,2716.34,2758.31,2708.72,2746.199,971271
10/27/2024,2731.109,2790.04,2724.619,2736,880734
11/3/2024,2733.24,2749.779,2644.69,2683.788,1132782
11/10/2024,2684.669,2686.071,2537.65,2562.093,1177398
11/17/2024,2560.79,2716.189,2560.79,2715.549,1051418
11/24/2024,2712.69,2721.067,2606.199,2650.22,1031291
12/1/2024,2651.188,2656.979,2614.03,2632.38,1095134
12/8/2024,2644.872,2725.86,2627.695,2647.326,966003
12/15/2024,2648.914,2664.26,2581.689,2622.456,902617
12/22/2024,2620.019,2638.929,2608.3,2621.065,460898
12/29/2024,2619.233,2665.186,2596.129,2638.8,583531
1/5/2025,2638.918,2697.825,2615.544,2687.909,828633
1/12/2025,2688.69,2724.667,2656.76,2700.972,858591
1/19/2025,2701.225,2785.82,2689.345,2769.289,854537
1/26/2025,2769.789,2816.879,2730.834,2796.538,810357
2/2/2025,2797.585,2886.59,2772.1,2858.509,974216
2/9/2025,2855.36,2942.59,2854.651,2880.605,1128609
2/16/2025,2881.095,2954.76,2878.319,2933.499,846417
2/23/2025,2934.939,2956.063,2832.37,2856.39,862517
3/2/2025,2855.35,2930.24,2855.1,2907.46,818974
3/9/2025,2910.11,3004.89,2879.96,2983.27,719191
3/16/2025,2983.61,3057.3,2981.98,3020.98,674821
3/23/2025,3019.27,3086.74,3002.36,3081.79,752874
3/30/2025,3085.67,3167.59,3015.61,3035.14,1116627
4/6/2025,3007.95,3245.23,2956.2,3234.28,1338209
4/13/2025,3228.08,3357.6,3193.3,3326.13,746665
